Match,Type,Time,Red1,Red1IsSurrogate,Red2,Red2IsSurrogate,Red3,Red3IsSurrogate,Blue1,Blue1IsSurrogate,Blue2,Blue2IsSurrogate,Blue3,Blue3IsSurrogate
Q1,Qualification,2024-04-29 09:00:00 -0400 EDT,1720,FALSE,7617,FALSE,7657,FALSE,3494,FALSE,5188,FALSE,3176,FALSE
Q2,Qualification,2024-04-29 09:06:00 -0400 EDT,3940,FALSE,71,FALSE,2909,FALSE,829,FALSE,447,FALSE,6721,FALSE
Q3,Qualification,2024-04-29 09:12:00 -0400 EDT,45,FALSE,4580,FALSE,7454,FALSE,1555,FALSE,1501,FALSE,4485,FALSE
Q4,Qualification,2024-04-29 09:18:00 -0400 EDT,234,FALSE,1741,FALSE,5484,FALSE,3890,FALSE,3947,FALSE,135,FALSE
Q5,Qualification,2024-04-29 09:24:00 -0400 EDT,5188,FALSE,45,FALSE,6721,FALSE,1555,FALSE,3940,FALSE,7657,FALSE
Q6,Qualification,2024-04-29 09:30:00 -0400 EDT,1741,FALSE,3947,FALSE,1501,FALSE,4580,FALSE,7617,FALSE,829,FALSE
Q7,Qualification,2024-04-29 09:36:00 -0400 EDT,7454,FALSE,234,FALSE,3176,FALSE,4485,FALSE,5484,FALSE,2909,FALSE
Q8,Qualification,2024-04-29 09:42:00 -0400 EDT,3890,FALSE,1720,FALSE,3494,FALSE,447,FALSE,135,FALSE,71,FALSE
Q9,Qualification,2024-04-29 09:48:00 -0400 EDT,5484,FALSE,1555,FALSE,3176,FALSE,1501,FALSE,3940,FALSE,3947,FALSE
Q10,Qualification,2024-04-29 09:54:00 -0400 EDT,7454,FALSE,4485,FALSE,3494,FALSE,135,FALSE,4580,FALSE,829,FALSE
Q11,Qualification,2024-04-29 10:00:00 -0400 EDT,45,FALSE,234,FALSE,447,FALSE,1720,FALSE,5188,FALSE,1741,FALSE
Q12,Qualification,2024-04-29 10:06:00 -0400 EDT,7617,FALSE,2909,FALSE,3890,FALSE,7657,FALSE,6721,FALSE,71,FALSE
Q13,Qualification,2024-04-29 10:12:00 -0400 EDT,447,FALSE,7454,FALSE,1720,FALSE,1555,FALSE,234,FALSE,829,FALSE
Q14,Qualification,2024-04-29 10:18:00 -0400 EDT,3940,FALSE,1741,FALSE,135,FALSE,7657,FALSE,5188,FALSE,3890,FALSE
Q15,Qualification,2024-04-29 10:24:00 -0400 EDT,4580,FALSE,4485,FALSE,71,FALSE,7617,FALSE,3176,FALSE,6721,FALSE
Q16,Qualification,2024-04-29 10:30:00 -0400 EDT,2909,FALSE,1501,FALSE,3494,FALSE,5484,FALSE,3947,FALSE,45,FALSE
Q17,Qualification,2024-04-29 10:36:00 -0400 EDT,135,FALSE,234,FALSE,5188,FALSE,4485,FALSE,6721,FALSE,3940,FALSE
Q18,Qualification,2024-04-29 10:42:00 -0400 EDT,1501,FALSE,1720,FALSE,4580,FALSE,1555,FALSE,3494,FALSE,3947,FALSE
Q19,Qualification,2024-04-29 10:48:00 -0400 EDT,7617,FALSE,5484,FALSE,447,FALSE,2909,FALSE,1741,FALSE,45,FALSE
Q20,Qualification,2024-04-29 10:54:00 -0400 EDT,7454,FALSE,829,FALSE,7657,FALSE,3176,FALSE,3890,FALSE,71,FALSE
Q21,Qualification,2024-04-29 11:00:00 -0400 EDT,1555,FALSE,3940,FALSE,4580,FALSE,135,FALSE,1720,FALSE,45,FALSE
Q22,Qualification,2024-04-29 11:06:00 -0400 EDT,71,FALSE,5188,FALSE,7617,FALSE,5484,FALSE,3947,FALSE,7454,FALSE
Q23,Qualification,2024-04-29 11:12:00 -0400 EDT,829,FALSE,1741,FALSE,3494,FALSE,7657,FALSE,2909,FALSE,234,FALSE
Q24,Qualification,2024-04-29 11:18:00 -0400 EDT,3176,FALSE,447,FALSE,4485,FALSE,6721,FALSE,3890,FALSE,1501,FALSE
Q25,Qualification,2024-04-29 11:24:00 -0400 EDT,135,FALSE,5484,FALSE,5188,FALSE,7617,FALSE,4580,FALSE,829,FALSE
Q26,Qualification,2024-04-29 11:30:00 -0400 EDT,234,FALSE,447,FALSE,3947,FALSE,45,FALSE,71,FALSE,3940,FALSE
Q27,Qualification,2024-04-29 11:36:00 -0400 EDT,1741,FALSE,7657,FALSE,6721,FALSE,7454,FALSE,1501,FALSE,1720,FALSE
Q28,Qualification,2024-04-29 11:42:00 -0400 EDT,1555,FALSE,3494,FALSE,3890,FALSE,2909,FALSE,4485,FALSE,3176,FALSE
Q29,Qualification,2024-04-29 11:48:00 -0400 EDT,3940,FALSE,5188,FALSE,829,FALSE,7617,FALSE,1501,FALSE,447,FALSE
Q30,Qualification,2024-04-29 11:54:00 -0400 EDT,1741,FALSE,71,FALSE,7454,FALSE,1555,FALSE,135,FALSE,2909,FALSE
Q31,Qualification,2024-04-29 12:00:00 -0400 EDT,4485,FALSE,3890,FALSE,234,FALSE,3494,FALSE,5484,FALSE,7657,FALSE
Q32,Qualification,2024-04-29 12:06:00 -0400 EDT,4580,FALSE,3176,FALSE,45,FALSE,3947,FALSE,6721,FALSE,1720,FALSE
Q33,Qualification,2024-04-29 12:12:00 -0400 EDT,829,FALSE,5484,FALSE,1501,FALSE,71,FALSE,5188,FALSE,3494,FALSE
Q34,Qualification,2024-04-29 12:18:00 -0400 EDT,3890,FALSE,1720,FALSE,4485,FALSE,234,FALSE,45,FALSE,4580,FALSE
Q35,Qualification,2024-04-29 12:24:00 -0400 EDT,7657,FALSE,3947,FALSE,3176,FALSE,447,FALSE,1741,FALSE,1555,FALSE
Q36,Qualification,2024-04-29 12:30:00 -0400 EDT,135,FALSE,6721,FALSE,2909,FALSE,7617,FALSE,7454,FALSE,3940,FALSE
Q37,Qualification,2024-04-29 12:36:00 -0400 EDT,1720,FALSE,1555,FALSE,71,FALSE,4485,FALSE,829,FALSE,1741,FALSE
Q38,Qualification,2024-04-29 12:42:00 -0400 EDT,4580,FALSE,3947,FALSE,7657,FALSE,447,FALSE,2909,FALSE,5188,FALSE
Q39,Qualification,2024-04-29 12:48:00 -0400 EDT,3494,FALSE,45,FALSE,7617,FALSE,3890,FALSE,7454,FALSE,3940,FALSE
Q40,Qualification,2024-04-29 12:54:00 -0400 EDT,1501,FALSE,3176,FALSE,135,FALSE,5484,FALSE,234,FALSE,6721,FALSE
Q41,Qualification,2024-04-29 13:00:00 -0400 EDT,829,FALSE,3947,FALSE,2909,FALSE,4485,FALSE,45,FALSE,7657,FALSE
Q42,Qualification,2024-04-29 13:06:00 -0400 EDT,1555,FALSE,6721,FALSE,7454,FALSE,447,FALSE,3494,FALSE,4580,FALSE
Q43,Qualification,2024-04-29 13:12:00 -0400 EDT,135,FALSE,7617,FALSE,5188,FALSE,71,FALSE,1501,FALSE,234,FALSE
Q44,Qualification,2024-04-29 13:18:00 -0400 EDT,3940,FALSE,5484,FALSE,1720,FALSE,3176,FALSE,3890,FALSE,1741,FALSE
Q45,Qualification,2024-04-29 13:24:00 -0400 EDT,3947,FALSE,4485,FALSE,5188,FALSE,7454,FALSE,135,FALSE,2909,FALSE
Q46,Qualification,2024-04-29 13:30:00 -0400 EDT,3494,FALSE,234,FALSE,3940,FALSE,1741,FALSE,4580,FALSE,7617,FALSE
Q47,Qualification,2024-04-29 13:36:00 -0400 EDT,45,FALSE,6721,FALSE,1555,FALSE,3890,FALSE,5484,FALSE,829,FALSE
Q48,Qualification,2024-04-29 13:42:00 -0400 EDT,1501,FALSE,447,FALSE,7657,FALSE,1720,FALSE,3176,FALSE,71,FALSE
